TimeStamp;Valor;Període tarifari;Tipus lectura
01/01/2024 00:00;2;6;Real
01/01/2024 01:00;2;6;Real
01/01/2024 02:00;2;6;Real
01/01/2024 03:00;2;6;Real
01/01/2024 04:00;2;6;Real
01/01/2024 05:00;1;6;Real
01/01/2024 06:00;2;6;Real
01/01/2024 07:00;2;6;Real
01/01/2024 08:00;2;6;Real
01/01/2024 09:00;1;6;Real
01/01/2024 10:00;1;6;Real
01/01/2024 11:00;0;6;Real
01/01/2024 12:00;0;6;Real
01/01/2024 13:00;0;6;Real
01/01/2024 14:00;0;6;Real
01/01/2024 15:00;0;6;Real
01/01/2024 16:00;1;6;Real
01/01/2024 17:00;2;6;Real
01/01/2024 18:00;2;6;Real
01/01/2024 19:00;1;6;Real
01/01/2024 20:00;2;6;Real
01/01/2024 21:00;2;6;Real
01/01/2024 22:00;2;6;Real
01/01/2024 23:00;2;6;Real
02/01/2024 00:00;2;6;Real
02/01/2024 01:00;2;6;Real
02/01/2024 02:00;2;6;Real
02/01/2024 03:00;2;6;Real
02/01/2024 04:00;2;6;Real
02/01/2024 05:00;6;6;Real
02/01/2024 06:00;6;6;Real
02/01/2024 07:00;7;6;Real
02/01/2024 08:00;6;2;Real
02/01/2024 09:00;26;1;Real
02/01/2024 10:00;22;1;Real
02/01/2024 11:00;18;1;Real
02/01/2024 12:00;14;1;Real
02/01/2024 13:00;18;1;Real
02/01/2024 14:00;16;2;Real
02/01/2024 15:00;18;2;Real
02/01/2024 16:00;22;2;Real
02/01/2024 17:00;28;2;Real
02/01/2024 18:00;28;1;Real
02/01/2024 19:00;27;1;Real
02/01/2024 20:00;25;1;Real
02/01/2024 21:00;21;1;Real
02/01/2024 22:00;16;2;Real
02/01/2024 23:00;17;2;Real
03/01/2024 00:00;16;6;Real
03/01/2024 01:00;18;6;Real
03/01/2024 02:00;17;6;Real
03/01/2024 03:00;17;6;Real
03/01/2024 04:00;17;6;Real
03/01/2024 05:00;17;6;Real
03/01/2024 06:00;19;6;Real
03/01/2024 07:00;19;6;Real
03/01/2024 08:00;19;2;Real
03/01/2024 09:00;19;1;Real
03/01/2024 10:00;14;1;Real
03/01/2024 11:00;14;1;Real
03/01/2024 12:00;6;1;Real
03/01/2024 13:00;3;1;Real
03/01/2024 14:00;2;2;Real
03/01/2024 15:00;6;2;Real
03/01/2024 16:00;7;2;Real
03/01/2024 17:00;5;2;Real
03/01/2024 18:00;7;1;Real
03/01/2024 19:00;5;1;Real
03/01/2024 20:00;6;1;Real
03/01/2024 21:00;5;1;Real
03/01/2024 22:00;2;2;Real
03/01/2024 23:00;2;2;Real
10/01/2024 00:00;2;6;Real
10/01/2024 01:00;2;6;Real
10/01/2024 02:00;2;6;Real
10/01/2024 03:00;2;6;Real
10/01/2024 04:00;2;6;Real
10/01/2024 05:00;6;6;Real
10/01/2024 06:00;12;6;Real
10/01/2024 07:00;16;6;Real
10/01/2024 08:00;11;2;Real
10/01/2024 09:00;14;1;Real
10/01/2024 10:00;14;1;Real
10/01/2024 11:00;10;1;Real
10/01/2024 12:00;11;1;Real
10/01/2024 13:00;6;1;Real
10/01/2024 14:00;7;2;Real
10/01/2024 15:00;5;2;Real
10/01/2024 16:00;10;2;Real
10/01/2024 17:00;19;2;Real
10/01/2024 18:00;27;1;Real
10/01/2024 19:00;11;1;Real
10/01/2024 20:00;14;1;Real
10/01/2024 21:00;10;1;Real
10/01/2024 22:00;2;2;Real
10/01/2024 23:00;2;2;Real
15/01/2024 00:00;2;6;Real
15/01/2024 01:00;2;6;Real
15/01/2024 02:00;2;6;Real
15/01/2024 03:00;2;6;Real
15/01/2024 04:00;2;6;Real
15/01/2024 05:00;6;6;Real
15/01/2024 06:00;12;6;Real
15/01/2024 07:00;16;6;Real
15/01/2024 08:00;16;2;Real
15/01/2024 09:00;10;1;Real
15/01/2024 10:00;5;1;Real
15/01/2024 11:00;4;1;Real
15/01/2024 12:00;3;1;Real
15/01/2024 13:00;0;1;Real
15/01/2024 14:00;2;2;Real
15/01/2024 15:00;4;2;Real
15/01/2024 16:00;5;2;Real
15/01/2024 17:00;7;2;Real
15/01/2024 18:00;13;1;Real
15/01/2024 19:00;10;1;Real
15/01/2024 20:00;10;1;Real
15/01/2024 21:00;5;1;Real
15/01/2024 22:00;2;2;Real
15/01/2024 23:00;2;2;Real
16/01/2024 00:00;2;6;Real
16/01/2024 01:00;2;6;Real
16/01/2024 02:00;2;6;Real
16/01/2024 03:00;2;6;Real
16/01/2024 04:00;2;6;Real
16/01/2024 05:00;2;6;Real
16/01/2024 06:00;10;6;Real
16/01/2024 07:00;9;6;Real
16/01/2024 08:00;8;2;Real
16/01/2024 09:00;9;1;Real
16/01/2024 10:00;8;1;Real
16/01/2024 11:00;8;1;Real
16/01/2024 12:00;7;1;Real
16/01/2024 13:00;6;1;Real
16/01/2024 14:00;2;2;Real
16/01/2024 15:00;5;2;Real
16/01/2024 16:00;13;2;Real
16/01/2024 17:00;12;2;Real
16/01/2024 18:00;10;1;Real
16/01/2024 19:00;8;1;Real
16/01/2024 20:00;6;1;Real
16/01/2024 21:00;4;1;Real
16/01/2024 22:00;3;2;Real
16/01/2024 23:00;2;2;Real
19/01/2024 00:00;2;6;Real
19/01/2024 01:00;2;6;Real
19/01/2024 02:00;2;6;Real
19/01/2024 03:00;2;6;Real
19/01/2024 04:00;2;6;Real
19/01/2024 05:00;3;6;Real
19/01/2024 06:00;4;6;Real
19/01/2024 07:00;7;6;Real
19/01/2024 08:00;7;2;Real
19/01/2024 09:00;7;1;Real
19/01/2024 10:00;7;1;Real
19/01/2024 11:00;7;1;Real
19/01/2024 12:00;7;1;Real
19/01/2024 13:00;6;1;Real
19/01/2024 14:00;5;2;Real
19/01/2024 15:00;5;2;Real
19/01/2024 16:00;9;2;Real
19/01/2024 17:00;27;2;Real
19/01/2024 18:00;27;1;Real
19/01/2024 19:00;29;1;Real
19/01/2024 20:00;26;1;Real
19/01/2024 21:00;23;1;Real
19/01/2024 22:00;21;2;Real
19/01/2024 23:00;22;2;Real
20/01/2024 00:00;20;6;Real
20/01/2024 01:00;22;6;Real
20/01/2024 02:00;23;6;Real
20/01/2024 03:00;23;6;Real
20/01/2024 04:00;21;6;Real
20/01/2024 05:00;23;6;Real
20/01/2024 06:00;24;6;Real
20/01/2024 07:00;33;6;Real
20/01/2024 08:00;32;6;Real
20/01/2024 09:00;32;6;Real
20/01/2024 10:00;26;6;Real
20/01/2024 11:00;19;6;Real
20/01/2024 12:00;13;6;Real
20/01/2024 13:00;7;6;Real
20/01/2024 14:00;11;6;Real
20/01/2024 15:00;11;6;Real
20/01/2024 16:00;20;6;Real
20/01/2024 17:00;21;6;Real
20/01/2024 18:00;29;6;Real
20/01/2024 19:00;33;6;Real
20/01/2024 20:00;30;6;Real
20/01/2024 21:00;23;6;Real
20/01/2024 22:00;21;6;Real
20/01/2024 23:00;20;6;Real
22/01/2024 00:00;2;6;Real
22/01/2024 01:00;2;6;Real
22/01/2024 02:00;2;6;Real
22/01/2024 03:00;2;6;Real
22/01/2024 04:00;2;6;Real
22/01/2024 05:00;8;6;Real
22/01/2024 06:00;15;6;Real
22/01/2024 07:00;16;6;Real
22/01/2024 08:00;9;2;Real
22/01/2024 09:00;7;1;Real
22/01/2024 10:00;4;1;Real
22/01/2024 11:00;1;1;Real
22/01/2024 12:00;0;1;Real
22/01/2024 13:00;0;1;Real
22/01/2024 14:00;0;2;Real
22/01/2024 15:00;1;2;Real
22/01/2024 16:00;6;2;Real
22/01/2024 17:00;5;2;Real
22/01/2024 18:00;8;1;Real
22/01/2024 19:00;11;1;Real
22/01/2024 20:00;6;1;Real
22/01/2024 21:00;4;1;Real
22/01/2024 22:00;2;2;Real
22/01/2024 23:00;2;2;Real
26/01/2024 00:00;2;6;Real
26/01/2024 01:00;3;6;Real
26/01/2024 02:00;2;6;Real
26/01/2024 03:00;2;6;Real
26/01/2024 04:00;2;6;Real
26/01/2024 05:00;3;6;Real
26/01/2024 06:00;3;6;Real
26/01/2024 07:00;3;6;Real
26/01/2024 08:00;3;2;Real
26/01/2024 09:00;6;1;Real
26/01/2024 10:00;3;1;Real
26/01/2024 11:00;0;1;Real
26/01/2024 12:00;0;1;Real
26/01/2024 13:00;0;1;Real
26/01/2024 14:00;0;2;Real
26/01/2024 15:00;0;2;Real
26/01/2024 16:00;2;2;Real
26/01/2024 17:00;7;2;Real
26/01/2024 18:00;9;1;Real
26/01/2024 19:00;10;1;Real
26/01/2024 20:00;6;1;Real
26/01/2024 21:00;4;1;Real
26/01/2024 22:00;2;2;Real
26/01/2024 23:00;2;2;Real
29/01/2024 00:00;2;6;Real
29/01/2024 01:00;2;6;Real
29/01/2024 02:00;2;6;Real
29/01/2024 03:00;2;6;Real
29/01/2024 04:00;1;6;Real
29/01/2024 05:00;5;6;Real
29/01/2024 06:00;10;6;Real
29/01/2024 07:00;6;6;Real
29/01/2024 08:00;5;2;Real
29/01/2024 09:00;7;1;Real
29/01/2024 10:00;7;1;Real
29/01/2024 11:00;7;1;Real
29/01/2024 12:00;6;1;Real
29/01/2024 13:00;4;1;Real
29/01/2024 14:00;5;2;Real
29/01/2024 15:00;6;2;Real
29/01/2024 16:00;8;2;Real
29/01/2024 17:00;8;2;Real
29/01/2024 18:00;18;1;Real
29/01/2024 19:00;20;1;Real
29/01/2024 20:00;11;1;Real
29/01/2024 21:00;4;1;Real
29/01/2024 22:00;2;2;Real
29/01/2024 23:00;2;2;Real
30/01/2024 00:00;2;6;Real
30/01/2024 01:00;2;6;Real
30/01/2024 02:00;2;6;Real
30/01/2024 03:00;2;6;Real
30/01/2024 04:00;2;6;Real
30/01/2024 05:00;5;6;Real
30/01/2024 06:00;15;6;Real
30/01/2024 07:00;7;6;Real
30/01/2024 08:00;6;2;Real
30/01/2024 09:00;4;1;Real
30/01/2024 10:00;4;1;Real
30/01/2024 11:00;3;1;Real
30/01/2024 12:00;0;1;Real
30/01/2024 13:00;1;1;Real
30/01/2024 14:00;0;2;Real
30/01/2024 15:00;1;2;Real
30/01/2024 16:00;4;2;Real
30/01/2024 17:00;12;2;Real
30/01/2024 18:00;10;1;Real
30/01/2024 19:00;9;1;Real
30/01/2024 20:00;9;1;Real
30/01/2024 21:00;5;1;Real
30/01/2024 22:00;2;2;Real
30/01/2024 23:00;2;2;Real
31/01/2024 00:00;2;6;Real
31/01/2024 01:00;2;6;Real
31/01/2024 02:00;2;6;Real
31/01/2024 03:00;1;6;Real
31/01/2024 04:00;2;6;Real
31/01/2024 05:00;12;6;Real
31/01/2024 06:00;9;6;Real
31/01/2024 07:00;8;6;Real
31/01/2024 08:00;5;2;Real
31/01/2024 09:00;9;1;Real
31/01/2024 10:00;5;1;Real
31/01/2024 11:00;1;1;Real
31/01/2024 12:00;0;1;Real
31/01/2024 13:00;0;1;Real
31/01/2024 14:00;0;2;Real
31/01/2024 15:00;0;2;Real
31/01/2024 16:00;3;2;Real
31/01/2024 17:00;6;2;Real
31/01/2024 18:00;9;1;Real
31/01/2024 19:00;8;1;Real
31/01/2024 20:00;8;1;Real
31/01/2024 21:00;5;1;Real
31/01/2024 22:00;2;2;Real
31/01/2024 23:00;2;2;Real
02/02/2024 00:00;2;6;Real
02/02/2024 01:00;2;6;Real
02/02/2024 02:00;2;6;Real
02/02/2024 03:00;2;6;Real
02/02/2024 04:00;1;6;Real
02/02/2024 05:00;6;6;Real
02/02/2024 06:00;5;6;Real
02/02/2024 07:00;5;6;Real
02/02/2024 08:00;6;2;Real
02/02/2024 09:00;5;1;Real
02/02/2024 10:00;6;1;Real
02/02/2024 11:00;2;1;Real
02/02/2024 12:00;0;1;Real
02/02/2024 13:00;0;1;Real
02/02/2024 14:00;0;2;Real
02/02/2024 15:00;0;2;Real
02/02/2024 16:00;0;2;Real
02/02/2024 17:00;6;2;Real
02/02/2024 18:00;10;1;Real
02/02/2024 19:00;11;1;Real
02/02/2024 20:00;8;1;Real
02/02/2024 21:00;4;1;Real
02/02/2024 22:00;2;2;Real
02/02/2024 23:00;2;2;Real
04/02/2024 00:00;2;6;Real
04/02/2024 01:00;2;6;Real
04/02/2024 02:00;2;6;Real
04/02/2024 03:00;2;6;Real
04/02/2024 04:00;2;6;Real
04/02/2024 05:00;2;6;Real
04/02/2024 06:00;2;6;Real
04/02/2024 07:00;2;6;Real
04/02/2024 08:00;2;6;Real
04/02/2024 09:00;1;6;Real
04/02/2024 10:00;0;6;Real
04/02/2024 11:00;0;6;Real
04/02/2024 12:00;0;6;Real
04/02/2024 13:00;0;6;Real
04/02/2024 14:00;0;6;Real
04/02/2024 15:00;0;6;Real
04/02/2024 16:00;0;6;Real
04/02/2024 17:00;1;6;Real
04/02/2024 18:00;2;6;Real
04/02/2024 19:00;2;6;Real
04/02/2024 20:00;2;6;Real
04/02/2024 21:00;2;6;Real
04/02/2024 22:00;2;6;Real
04/02/2024 23:00;2;6;Real
10/02/2024 00:00;2;6;Real
10/02/2024 01:00;2;6;Real
10/02/2024 02:00;2;6;Real
10/02/2024 03:00;2;6;Real
10/02/2024 04:00;2;6;Real
10/02/2024 05:00;2;6;Real
10/02/2024 06:00;3;6;Real
10/02/2024 07:00;3;6;Real
10/02/2024 08:00;2;6;Real
10/02/2024 09:00;1;6;Real
10/02/2024 10:00;4;6;Real
10/02/2024 11:00;4;6;Real
10/02/2024 12:00;4;6;Real
10/02/2024 13:00;0;6;Real
10/02/2024 14:00;0;6;Real
10/02/2024 15:00;0;6;Real
10/02/2024 16:00;0;6;Real
10/02/2024 17:00;2;6;Real
10/02/2024 18:00;5;6;Real
10/02/2024 19:00;4;6;Real
10/02/2024 20:00;3;6;Real
10/02/2024 21:00;3;6;Real
10/02/2024 22:00;2;6;Real
10/02/2024 23:00;2;6;Real
11/02/2024 00:00;2;6;Real
11/02/2024 01:00;2;6;Real
11/02/2024 02:00;2;6;Real
11/02/2024 03:00;2;6;Real
11/02/2024 04:00;2;6;Real
11/02/2024 05:00;2;6;Real
11/02/2024 06:00;2;6;Real
11/02/2024 07:00;2;6;Real
11/02/2024 08:00;2;6;Real
11/02/2024 09:00;1;6;Real
11/02/2024 10:00;0;6;Real
11/02/2024 11:00;0;6;Real
11/02/2024 12:00;0;6;Real
11/02/2024 13:00;0;6;Real
11/02/2024 14:00;0;6;Real
11/02/2024 15:00;0;6;Real
11/02/2024 16:00;0;6;Real
11/02/2024 17:00;1;6;Real
11/02/2024 18:00;2;6;Real
11/02/2024 19:00;2;6;Real
11/02/2024 20:00;2;6;Real
11/02/2024 21:00;2;6;Real
11/02/2024 22:00;2;6;Real
11/02/2024 23:00;2;6;Real
16/02/2024 00:00;2;6;Real
16/02/2024 01:00;2;6;Real
16/02/2024 02:00;3;6;Real
16/02/2024 03:00;2;6;Real
16/02/2024 04:00;2;6;Real
16/02/2024 05:00;2;6;Real
16/02/2024 06:00;5;6;Real
16/02/2024 07:00;4;6;Real
16/02/2024 08:00;5;2;Real
16/02/2024 09:00;5;1;Real
16/02/2024 10:00;5;1;Real
16/02/2024 11:00;3;1;Real
16/02/2024 12:00;2;1;Real
16/02/2024 13:00;4;1;Real
16/02/2024 14:00;4;2;Real
16/02/2024 15:00;4;2;Real
16/02/2024 16:00;5;2;Real
16/02/2024 17:00;7;2;Real
16/02/2024 18:00;8;1;Real
16/02/2024 19:00;7;1;Real
16/02/2024 20:00;6;1;Real
16/02/2024 21:00;4;1;Real
16/02/2024 22:00;2;2;Real
16/02/2024 23:00;3;2;Real
18/02/2024 00:00;2;6;Real
18/02/2024 01:00;2;6;Real
18/02/2024 02:00;2;6;Real
18/02/2024 03:00;2;6;Real
18/02/2024 04:00;1;6;Real
18/02/2024 05:00;2;6;Real
18/02/2024 06:00;2;6;Real
18/02/2024 07:00;2;6;Real
18/02/2024 08:00;2;6;Real
18/02/2024 09:00;0;6;Real
18/02/2024 10:00;0;6;Real
18/02/2024 11:00;0;6;Real
18/02/2024 12:00;0;6;Real
18/02/2024 13:00;0;6;Real
18/02/2024 14:00;0;6;Real
18/02/2024 15:00;0;6;Real
18/02/2024 16:00;0;6;Real
18/02/2024 17:00;1;6;Real
18/02/2024 18:00;2;6;Real
18/02/2024 19:00;2;6;Real
18/02/2024 20:00;2;6;Real
18/02/2024 21:00;2;6;Real
18/02/2024 22:00;2;6;Real
18/02/2024 23:00;2;6;Real
20/02/2024 00:00;2;6;Real
20/02/2024 01:00;2;6;Real
20/02/2024 02:00;2;6;Real
20/02/2024 03:00;2;6;Real
20/02/2024 04:00;2;6;Real
20/02/2024 05:00;3;6;Real
20/02/2024 06:00;3;6;Real
20/02/2024 07:00;3;6;Real
20/02/2024 08:00;3;2;Real
20/02/2024 09:00;3;1;Real
20/02/2024 10:00;3;1;Real
20/02/2024 11:00;0;1;Real
20/02/2024 12:00;0;1;Real
20/02/2024 13:00;0;1;Real
20/02/2024 14:00;0;2;Real
20/02/2024 15:00;0;2;Real
20/02/2024 16:00;2;2;Real
20/02/2024 17:00;5;2;Real
20/02/2024 18:00;7;1;Real
20/02/2024 19:00;6;1;Real
20/02/2024 20:00;6;1;Real
20/02/2024 21:00;4;1;Real
20/02/2024 22:00;2;2;Real
20/02/2024 23:00;2;2;Real
22/02/2024 00:00;1;6;Real
22/02/2024 01:00;3;6;Real
22/02/2024 02:00;1;6;Real
22/02/2024 03:00;3;6;Real
22/02/2024 04:00;2;6;Real
22/02/2024 05:00;5;6;Real
22/02/2024 06:00;6;6;Real
22/02/2024 07:00;6;6;Real
22/02/2024 08:00;5;2;Real
22/02/2024 09:00;4;1;Real
22/02/2024 10:00;2;1;Real
22/02/2024 11:00;0;1;Real
22/02/2024 12:00;0;1;Real
22/02/2024 13:00;0;1;Real
22/02/2024 14:00;3;2;Real
22/02/2024 15:00;4;2;Real
22/02/2024 16:00;6;2;Real
22/02/2024 17:00;6;2;Real
22/02/2024 18:00;7;1;Real
22/02/2024 19:00;9;1;Real
22/02/2024 20:00;8;1;Real
22/02/2024 21:00;6;1;Real
22/02/2024 22:00;3;2;Real
22/02/2024 23:00;2;2;Real
25/02/2024 00:00;3;6;Real
25/02/2024 01:00;2;6;Real
25/02/2024 02:00;2;6;Real
25/02/2024 03:00;2;6;Real
25/02/2024 04:00;2;6;Real
25/02/2024 05:00;2;6;Real
25/02/2024 06:00;2;6;Real
25/02/2024 07:00;2;6;Real
25/02/2024 08:00;1;6;Real
25/02/2024 09:00;0;6;Real
25/02/2024 10:00;0;6;Real
25/02/2024 11:00;0;6;Real
25/02/2024 12:00;0;6;Real
25/02/2024 13:00;0;6;Real
25/02/2024 14:00;0;6;Real
25/02/2024 15:00;0;6;Real
25/02/2024 16:00;1;6;Real
25/02/2024 17:00;1;6;Real
25/02/2024 18:00;2;6;Real
25/02/2024 19:00;2;6;Real
25/02/2024 20:00;2;6;Real
25/02/2024 21:00;2;6;Real
25/02/2024 22:00;2;6;Real
25/02/2024 23:00;2;6;Real
01/03/2024 00:00;2;6;Real
01/03/2024 01:00;2;6;Real
01/03/2024 02:00;2;6;Real
01/03/2024 03:00;2;6;Real
01/03/2024 04:00;2;6;Real
01/03/2024 05:00;3;6;Real
01/03/2024 06:00;6;6;Real
01/03/2024 07:00;4;6;Real
01/03/2024 08:00;5;3;Real
01/03/2024 09:00;2;2;Real
01/03/2024 10:00;0;2;Real
01/03/2024 11:00;0;2;Real
01/03/2024 12:00;0;2;Real
01/03/2024 13:00;0;2;Real
01/03/2024 14:00;0;3;Real
01/03/2024 15:00;0;3;Real
01/03/2024 16:00;0;3;Real
01/03/2024 17:00;5;3;Real
01/03/2024 18:00;9;2;Real
01/03/2024 19:00;10;2;Real
01/03/2024 20:00;6;2;Real
01/03/2024 21:00;3;2;Real
01/03/2024 22:00;2;3;Real
01/03/2024 23:00;2;3;Real
09/03/2024 00:00;2;6;Real
09/03/2024 01:00;2;6;Real
09/03/2024 02:00;2;6;Real
09/03/2024 03:00;2;6;Real
09/03/2024 04:00;2;6;Real
09/03/2024 05:00;2;6;Real
09/03/2024 06:00;3;6;Real
09/03/2024 07:00;5;6;Real
09/03/2024 08:00;5;6;Real
09/03/2024 09:00;5;6;Real
09/03/2024 10:00;4;6;Real
09/03/2024 11:00;4;6;Real
09/03/2024 12:00;3;6;Real
09/03/2024 13:00;0;6;Real
09/03/2024 14:00;1;6;Real
09/03/2024 15:00;2;6;Real
09/03/2024 16:00;4;6;Real
09/03/2024 17:00;6;6;Real
09/03/2024 18:00;9;6;Real
09/03/2024 19:00;10;6;Real
09/03/2024 20:00;8;6;Real
09/03/2024 21:00;6;6;Real
09/03/2024 22:00;5;6;Real
09/03/2024 23:00;4;6;Real
15/03/2024 00:00;2;6;Real
15/03/2024 01:00;2;6;Real
15/03/2024 02:00;2;6;Real
15/03/2024 03:00;2;6;Real
15/03/2024 04:00;2;6;Real
15/03/2024 05:00;3;6;Real
15/03/2024 06:00;3;6;Real
15/03/2024 07:00;4;6;Real
15/03/2024 08:00;5;3;Real
15/03/2024 09:00;6;2;Real
15/03/2024 10:00;3;2;Real
15/03/2024 11:00;0;2;Real
15/03/2024 12:00;0;2;Real
15/03/2024 13:00;0;2;Real
15/03/2024 14:00;0;3;Real
15/03/2024 15:00;0;3;Real
15/03/2024 16:00;0;3;Real
15/03/2024 17:00;3;3;Real
15/03/2024 18:00;7;2;Real
15/03/2024 19:00;7;2;Real
15/03/2024 20:00;6;2;Real
15/03/2024 21:00;3;2;Real
15/03/2024 22:00;2;3;Real
15/03/2024 23:00;2;3;Real
16/03/2024 00:00;2;6;Real
16/03/2024 01:00;2;6;Real
16/03/2024 02:00;2;6;Real
16/03/2024 03:00;2;6;Real
16/03/2024 04:00;2;6;Real
16/03/2024 05:00;2;6;Real
16/03/2024 06:00;3;6;Real
16/03/2024 07:00;3;6;Real
16/03/2024 08:00;2;6;Real
16/03/2024 09:00;0;6;Real
16/03/2024 10:00;0;6;Real
16/03/2024 11:00;0;6;Real
16/03/2024 12:00;0;6;Real
16/03/2024 13:00;0;6;Real
16/03/2024 14:00;0;6;Real
16/03/2024 15:00;0;6;Real
16/03/2024 16:00;0;6;Real
16/03/2024 17:00;2;6;Real
16/03/2024 18:00;10;6;Real
16/03/2024 19:00;12;6;Real
16/03/2024 20:00;10;6;Real
16/03/2024 21:00;6;6;Real
16/03/2024 22:00;3;6;Real
16/03/2024 23:00;4;6;Real
21/03/2024 00:00;2;6;Real
21/03/2024 01:00;2;6;Real
21/03/2024 02:00;2;6;Real
21/03/2024 03:00;2;6;Real
21/03/2024 04:00;2;6;Real
21/03/2024 05:00;3;6;Real
21/03/2024 06:00;3;6;Real
21/03/2024 07:00;4;6;Real
21/03/2024 08:00;2;3;Real
21/03/2024 09:00;1;2;Real
21/03/2024 10:00;0;2;Real
21/03/2024 11:00;0;2;Real
21/03/2024 12:00;0;2;Real
21/03/2024 13:00;0;2;Real
21/03/2024 14:00;0;3;Real
21/03/2024 15:00;0;3;Real
21/03/2024 16:00;1;3;Real
21/03/2024 17:00;4;3;Real
21/03/2024 18:00;5;2;Real
21/03/2024 19:00;6;2;Real
21/03/2024 20:00;5;2;Real
21/03/2024 21:00;4;2;Real
21/03/2024 22:00;2;3;Real
21/03/2024 23:00;2;3;Real
22/03/2024 00:00;2;6;Real
22/03/2024 01:00;2;6;Real
22/03/2024 02:00;2;6;Real
22/03/2024 03:00;2;6;Real
22/03/2024 04:00;2;6;Real
22/03/2024 05:00;3;6;Real
22/03/2024 06:00;4;6;Real
22/03/2024 07:00;3;6;Real
22/03/2024 08:00;2;3;Real
22/03/2024 09:00;0;2;Real
22/03/2024 10:00;0;2;Real
22/03/2024 11:00;0;2;Real
22/03/2024 12:00;0;2;Real
22/03/2024 13:00;0;2;Real
22/03/2024 14:00;0;3;Real
22/03/2024 15:00;0;3;Real
22/03/2024 16:00;0;3;Real
22/03/2024 17:00;3;3;Real
22/03/2024 18:00;7;2;Real
22/03/2024 19:00;8;2;Real
22/03/2024 20:00;6;2;Real
22/03/2024 21:00;4;2;Real
22/03/2024 22:00;3;3;Real
22/03/2024 23:00;2;3;Real
23/03/2024 00:00;3;6;Real
23/03/2024 01:00;2;6;Real
23/03/2024 02:00;2;6;Real
23/03/2024 03:00;3;6;Real
23/03/2024 04:00;2;6;Real
23/03/2024 05:00;3;6;Real
23/03/2024 06:00;3;6;Real
23/03/2024 07:00;4;6;Real
23/03/2024 08:00;2;6;Real
